id,loan_id,due_date,paid_date,expected_amount,paid_amount,payment_status,days_overdue
1,1,2025-07-06,2025-07-08,195598.33,195598.33,paid,2
2,1,2025-07-13,2025-07-16,195598.33,195598.33,paid,3
3,1,2025-07-20,2025-07-20,195598.33,195598.33,paid,0
4,1,2025-07-27,2025-07-27,195598.33,195598.33,paid,0
5,1,2025-08-03,2025-08-03,195598.33,195598.33,paid,0
6,1,2025-08-10,2025-08-10,195598.33,195598.33,paid,0
7,1,2025-08-17,2025-08-17,195598.33,195598.33,paid,0
8,1,2025-08-24,2025-08-24,195598.33,195598.33,paid,0
9,1,2025-08-31,2025-08-31,195598.33,195598.33,paid,0
10,1,2025-09-07,2025-09-07,195598.33,195598.33,paid,0
11,1,2025-09-14,2025-09-14,195598.33,195598.33,paid,0
12,1,2025-09-21,2025-09-21,195598.33,195598.33,paid,0
13,1,2025-09-28,2025-09-28,195598.33,195598.33,paid,0
14,1,2025-10-05,2025-10-05,195598.33,195598.33,paid,0
15,1,2025-10-12,2025-10-12,195598.33,195598.33,paid,0
16,1,2025-10-19,2025-10-19,195598.33,195598.33,paid,0
17,1,2025-10-26,2025-10-26,195598.33,195598.33,paid,0
18,1,2025-11-02,2025-11-02,195598.33,195598.33,paid,0
19,1,2025-11-09,2025-11-09,195598.33,195598.33,paid,0
20,1,2025-11-16,2025-11-16,195598.33,195598.33,paid,0
21,2,2024-02-17,2024-02-17,238952.92,238952.92,paid,0
22,2,2024-02-24,2024-02-24,238952.92,238952.92,paid,0
23,2,2024-03-02,2024-03-02,238952.92,238952.92,paid,0
24,2,2024-03-09,2024-03-09,238952.92,238952.92,paid,0
25,2,2024-03-16,2024-03-16,238952.92,238952.92,paid,0
26,2,2024-03-23,2024-03-23,238952.92,238952.92,paid,0
27,2,2024-03-30,2024-04-02,238952.92,238952.92,paid,3
28,2,2024-04-06,2024-04-06,238952.92,238952.92,paid,0
29,2,2024-04-13,2024-04-13,238952.92,238952.92,paid,0
30,2,2024-04-20,2024-04-20,238952.92,238952.92,paid,0
31,2,2024-04-27,2024-04-27,238952.92,238952.92,paid,0
32,2,2024-05-04,2024-05-04,238952.92,238952.92,paid,0
33,2,2024-05-11,2024-05-11,238952.92,238952.92,paid,0
34,2,2024-05-18,2024-05-18,238952.92,238952.92,paid,0
35,2,2024-05-25,2024-05-25,238952.92,238952.92,paid,0
